mean_value_ML,mean_value_AP,mean_distance_ML,mean_distance_AP,mean_distance_Radius,maximal_distance_ML,maximal_distance_AP,maximal_distance_Radius,rms_ML,rms_AP,rms_Radius,range_ML,range_AP,range_ML_AND_AP,range_ratio_ML_AND_AP,planar_deviation_ML_AND_AP,coefficient_sway_direction_ML_AND_AP,confidence_ellipse_area_ML_AND_AP,principal_sway_direction_ML_AND_AP,mean_velocity_ML,mean_velocity_AP,mean_velocity_ML_AND_AP,sway_area_per_second_ML_AND_AP,phase_plane_parameter_ML,phase_plane_parameter_AP,LFS_ML_AND_AP,fractal_dimension_ML_AND_AP,zero_crossing_SPD_ML,peak_velocity_pos_SPD_ML,peak_velocity_neg_SPD_ML,peak_velocity_all_SPD_ML,zero_crossing_SPD_AP,peak_velocity_pos_SPD_AP,peak_velocity_neg_SPD_AP,peak_velocity_all_SPD_AP,mean_peak_Sway_Density,mean_distance_peak_Sway_Density,mean_frequency_ML,mean_frequency_AP,mean_frequency_ML_AND_AP,total_power_Power_Spectrum_Density_ML,total_power_Power_Spectrum_Density_AP,power_frequency_50_Power_Spectrum_Density_ML,power_frequency_50_Power_Spectrum_Density_AP,power_frequency_95_Power_Spectrum_Density_ML,power_frequency_95_Power_Spectrum_Density_AP,frequency_mode_Power_Spectrum_Density_ML,frequency_mode_Power_Spectrum_Density_AP,centroid_frequency_Power_Spectrum_Density_ML,centroid_frequency_Power_Spectrum_Density_AP,frequency_dispersion_Power_Spectrum_Density_ML,frequency_dispersion_Power_Spectrum_Density_AP,energy_content_below_05_Power_Spectrum_Density_ML,energy_content_below_05_Power_Spectrum_Density_AP,energy_content_05_2_Power_Spectrum_Density_ML,energy_content_05_2_Power_Spectrum_Density_AP,energy_content_above_2_Power_Spectrum_Density_ML,energy_content_above_2_Power_Spectrum_Density_AP,frequency_quotient_Power_Spectrum_Density_ML,frequency_quotient_Power_Spectrum_Density_AP,short_time_diffusion_Diffusion_ML,long_time_diffusion_Diffusion_ML,critical_time_Diffusion_ML,critical_displacement_Diffusion_ML,short_time_scaling_Diffusion_ML,long_time_scaling_Diffusion_ML,short_time_diffusion_Diffusion_AP,long_time_diffusion_Diffusion_AP,critical_time_Diffusion_AP,critical_displacement_Diffusion_AP,short_time_scaling_Diffusion_AP,long_time_scaling_Diffusion_AP,Label
0.327527,-0.845172,0.34036,0.500534,0.663668,1.417301,2.436175,2.512345,0.416265,0.630324,0.755371,2.752018,4.709058,4.788078,0.58441,0.755371,-0.03718,4.943569,2.488586,1.518231,2.179286,2.943777,0.578135,1.965346,2.933381,71.385684,2.616981,523,1.976587,2.003753,1.99017,601,2.973672,2.759201,2.866437,0.354327,0.933742,0.788804,0.76993,0.706187,13.389163,30.684045,0.517184,0.583917,1.609943,1.64331,0.216884,0.2002,0.859695,0.879225,0.610702,0.628597,6.587013,13.354652,6.490349,16.360337,0.3118,0.969057,0.023843,0.032612,1.311086,0.286366,0.386412,0.275086,0.821119,0.021131,2.363786,0.522008,0.352508,0.456419,0.788643,0.064388,C
0.103607,2.31778,0.94059,1.259092,1.69943,3.631072,4.724511,5.335441,1.167479,1.523845,1.919664,6.280374,7.947655,8.466807,0.790217,1.919664,-0.010453,33.540795,1.110415,3.371081,3.074205,5.046017,2.636498,4.635213,4.300182,18.035247,2.302086,527,4.289364,4.753882,4.521623,771,4.198507,4.195052,4.196779,0.214175,1.536861,0.633781,0.431763,0.472727,68.703754,50.074475,0.642309,0.375375,1.659993,1.835169,0.15015,0.15015,0.889296,0.915187,0.605446,0.729095,26.749128,29.803987,40.02737,18.188098,1.927256,2.082389,0.028861,0.04339,7.333657,2.906609,0.575196,2.936816,0.827374,-0.009347,2.754488,0.754341,0.254771,0.403023,0.702796,0.229215,C
-0.986173,-0.524954,1.971651,1.702358,2.813432,21.00161,29.327987,35.499222,3.954826,2.948524,4.932995,32.329484,42.112242,47.151557,0.767698,4.932995,0.505409,189.709661,60.256779,6.455189,7.182093,11.032195,21.336261,20.571072,24.046436,6.971387,2.247696,544,10.681596,10.265665,10.473248,521,13.622729,13.573033,13.597881,0.179504,3.226988,0.57896,0.746054,0.624296,906.326567,517.035096,0.408742,0.984318,2.385719,3.061395,0.15015,0.15015,1.049284,1.529058,0.726945,0.613529,511.398816,141.072331,335.948876,272.142936,58.978875,103.819828,0.069604,0.251249,44.519486,44.092339,0.992938,44.129843,0.620195,-0.059984,29.125451,17.934401,0.609993,17.982404,0.487772,-0.002704,C
-0.61733,0.104905,0.251984,0.303147,0.441484,1.214074,1.63356,1.634081,0.3317,0.38575,0.508751,2.184807,2.77243,2.772462,0.788048,0.508751,-0.034339,2.411029,6.384085,0.592407,0.770564,1.085594,0.160529,0.84967,1.061466,53.977362,2.165042,663,0.660588,0.652175,0.656382,635,0.972933,0.889895,0.931414,1.593567,0.280932,0.415736,0.449495,0.391487,4.880802,7.428279,0.316984,0.325325,1.217885,1.109443,0.15015,0.15015,0.595551,0.601252,0.649308,0.673324,3.574733,5.439002,1.267563,1.87876,0.038505,0.110517,0.007952,0.015103,0.251005,0.227601,0.944307,0.227765,0.847766,-0.006287,0.354784,0.26823,0.842556,0.267131,0.828205,0.011977,C
0.315572,-1.169136,0.30421,0.473987,0.615013,1.355967,2.159009,2.161206,0.391668,0.596278,0.713408,2.703754,4.036727,4.040337,0.669789,0.713408,0.060377,4.395226,3.971051,1.127514,1.636471,2.204917,0.431163,1.510592,2.331063,60.159282,2.433915,637,1.435576,1.334208,1.384892,561,2.120483,2.128122,2.124302,0.619763,0.717729,0.655417,0.610537,0.570786,12.795759,22.269175,0.441961,0.617078,1.392595,1.425951,0.433622,0.1501,0.714721,0.83865,0.635505,0.610625,7.840501,9.402466,4.713745,12.335202,0.241514,0.531506,0.019238,0.024451,0.711101,0.22137,0.460891,0.201484,0.814043,0.060757,1.922564,0.689337,0.53564,0.678817,0.833795,0.012317,C
-0.032737,1.311248,0.415371,0.453362,0.674452,1.780413,2.001027,2.062093,0.522507,0.5725,0.775094,3.164473,3.650847,3.920418,0.866778,0.775094,-0.010009,5.639668,3.121352,1.282001,1.146607,1.904905,0.419364,1.795248,1.588708,40.491737,2.248611,415,1.82178,1.668679,1.74523,410,1.43996,1.4403,1.44013,0.698162,0.728314,0.545785,0.447239,0.449663,20.746701,26.327453,0.408742,0.316984,1.176176,0.909243,0.175175,0.175175,0.652995,0.515966,0.603,0.610053,12.364098,20.325363,8.131046,5.833957,0.251556,0.168133,0.012274,0.006427,1.42145,0.530982,0.570606,0.533376,0.873537,-0.004008,1.173481,0.66193,0.725114,0.661342,0.892054,0.001383,C
0.588743,-1.14393,0.615953,0.769811,1.088732,2.534497,3.389539,3.478336,0.79415,0.96434,1.24925,4.973992,6.52679,6.625527,0.762089,1.24925,-0.011778,14.438079,1.724859,1.706713,2.564557,3.412503,1.14973,2.411166,3.466061,28.343614,2.322414,377,2.317243,2.210132,2.263688,471,3.319171,2.994722,3.156947,0.336617,1.446326,0.489985,0.589112,0.499019,53.531231,80.766774,0.325217,0.391928,1.017345,1.067378,0.166778,0.183456,0.532311,0.614095,0.610006,0.60523,40.75387,50.501398,12.3804,29.440578,0.396961,0.824797,0.007471,0.010317,2.809441,1.355931,0.670378,1.374733,0.893599,-0.017218,5.433464,1.723843,0.516656,1.703451,0.878224,0.00901,C
-0.052043,-1.477927,0.458484,0.489855,0.741608,2.179304,2.020921,2.349673,0.5872,0.624164,0.856963,3.925942,3.999991,4.555275,0.981488,0.856963,0.155009,6.826701,34.245723,1.753254,1.29772,2.411895,0.584982,2.367415,1.811569,42.353985,2.340979,545,2.216641,2.118269,2.167455,596,1.674171,1.66422,1.669204,0.473526,0.88294,0.676225,0.468472,0.517784,28.272352,18.708133,0.533867,0.35035,1.276276,1.251251,0.367034,0.216884,0.737591,0.658795,0.52876,0.666932,13.409503,12.901343,14.657172,5.563418,0.205678,0.243372,0.007328,0.01318,2.408797,0.563647,0.419002,0.532393,0.867649,0.032789,1.006831,0.838521,0.89881,0.844754,0.822605,-0.034707,C
0.591046,-1.090741,0.472877,0.516998,0.774256,1.913289,1.839776,2.124579,0.58718,0.637036,0.866369,3.510059,3.622145,3.840061,0.969055,0.866369,0.118943,7.002422,27.776444,1.439091,1.275544,2.119523,0.523666,1.964945,1.749103,36.285793,2.247692,458,1.973805,2.014602,1.994159,574,1.687408,1.770294,1.728923,0.527924,0.604874,0.538159,0.436291,0.435831,19.371904,15.219864,0.375375,0.308642,1.418085,1.301301,0.15015,0.15015,0.727624,0.704355,0.652994,0.706567,11.480674,10.36622,7.53959,4.540477,0.35164,0.313166,0.018488,0.021008,1.400554,0.65151,0.628852,0.642297,0.840311,0.015351,0.797872,0.250588,0.383909,0.174063,0.795181,0.190313,C
1.640801,-1.259105,0.615639,0.759145,1.087389,2.599062,2.978124,3.120527,0.785734,0.969221,1.247705,5.035034,5.811957,5.812088,0.866323,1.247705,0.119532,14.25545,14.741489,1.789329,1.505065,2.605803,0.938531,2.512383,2.280531,21.913277,2.157498,475,2.346269,2.559796,2.453032,437,1.973317,2.118938,2.046127,0.43931,0.971204,0.513966,0.35059,0.381524,42.990424,34.015325,0.308642,0.291959,1.326326,1.167835,0.166834,0.158492,0.639902,0.596244,0.688232,0.677466,31.716994,25.46633,10.506003,8.052482,0.767427,0.496513,0.018176,0.014813,2.141168,0.857513,0.548478,0.789617,0.830456,0.068671,1.877036,1.342222,0.809365,1.305763,0.857912,0.065101,C
0.379529,0.056079,0.418844,0.562064,0.780404,1.645538,2.691264,2.696632,0.521784,0.72018,0.889336,3.283576,4.878811,4.883168,0.673028,0.889336,0.020453,7.083503,1.784747,1.659212,1.360943,2.385781,0.60617,2.19631,1.876713,40.390029,2.321155,513,2.226394,2.190642,2.208518,629,1.800788,1.685959,1.743373,0.461998,0.808778,0.700519,0.428178,0.486717,19.912756,17.189345,0.550367,0.37525,1.417612,1.309206,0.350233,0.308539,0.803201,0.718758,0.565342,0.657016,8.748203,11.041272,10.922434,5.838473,0.242119,0.309599,0.012309,0.018341,1.929353,0.368613,0.343695,0.31174,0.853356,0.078453,0.976848,0.353032,0.460947,0.278582,0.809984,0.152909,C
